user,time_stamp,btag,cate,brand,order_id
6,1492828747,buy,6806,310648,1
20,1492818775,buy,6267,242806,2
50,1492827370,buy,11183,435799,3
56,1492827781,buy,7276,419652,4
56,1492827849,buy,7272,340132,4
58,1492829641,buy,6446,245116,5
62,1492830134,buy,5467,449891,6
69,1492810562,buy,4278,68056,7
69,1492810632,buy,4315,139680,7
95,1492820844,buy,5467,336520,8
117,1492817318,buy,12422,388700,9
157,1492822425,buy,4589,26790,10
269,1492833124,buy,6806,439491,11
270,1492804742,buy,877,393022,12
270,1492804742,buy,877,393022,12
270,1492804742,buy,877,393022,12
279,1492806999,buy,5966,201973,13
303,1492828033,buy,4384,247789,14
337,1492830773,buy,506,287419,15
368,1492790918,buy,3155,352548,16
368,1492791031,buy,3155,352548,16
369,1492828110,buy,6027,101201,17
401,1492830176,buy,11740,247789,18
401,1492830176,buy,11740,247789,18
401,1492830176,buy,11740,247789,18
401,1492830176,buy,11740,247789,18
445,1492831134,buy,11426,203031,19
454,1492821565,buy,4262,366684,20
493,1492817639,buy,9347,444984,21
543,1492790853,buy,5213,390518,22
543,1492791213,buy,5213,390518,22
543,1492791373,buy,5213,390518,22
543,1492793133,buy,5213,390518,22
543,1492793290,buy,5213,390518,22
543,1492793383,buy,5213,390518,22
565,1492820263,buy,4610,312430,23
574,1492821395,buy,12422,425589,24
599,1492817600,buy,1226,165834,25
618,1492827872,buy,6423,25502,26
728,1492824873,buy,4517,376339,27
730,1492797802,buy,8998,9273,28
731,1492808361,buy,5545,264281,29
763,1492830830,buy,1601,119390,30
763,1492830830,buy,1601,119390,30
780,1492823874,buy,358,98038,31
799,1492832583,buy,5830,384487,32
823,1492822381,buy,856,187782,33
823,1492822381,buy,856,187782,33
879,1492811116,buy,6446,279548,34
879,1492812169,buy,6446,279548,34
906,1492830716,buy,7434,374661,35
909,1492826201,buy,4262,370203,36
909,1492827247,buy,4262,366684,36
909,1492829745,buy,4262,370203,36
935,1492833078,buy,7497,160582,37
959,1492828322,buy,2209,286164,38
1001,1492821693,buy,7184,209164,39
1027,1492815715,buy,6621,229739,40
1061,1492824843,buy,6341,58507,41
1071,1492820580,buy,6423,241383,42
1154,1492797308,buy,1673,262005,43
1163,1492828761,buy,6736,324744,44
1181,1492825406,buy,4520,91437,45
1181,1492827560,buy,6453,2599,45
1193,1492824015,buy,6180,107356,46
1195,1492830744,buy,6341,284244,47
1202,1492821547,buy,6183,270406,48
1223,1492823222,buy,4520,439451,49
1227,1492819460,buy,4520,352002,50
1238,1492819404,buy,7227,30759,51
1238,1492822043,buy,7227,30759,51
1238,1492822063,buy,7227,30759,51
1245,1492822480,buy,4267,95766,52
1249,1492829789,buy,4262,370203,53
1254,1492791694,buy,12226,426955,54
1267,1492830763,buy,3307,86783,55
1279,1492793055,buy,5177,281897,56
1283,1492819848,buy,4284,146115,57
1296,1492820772,buy,4263,388700,58
1301,1492821551,buy,6420,161095,59
1309,1492832469,buy,5311,452794,60
1324,1492826789,buy,1828,123385,61
1384,1492814301,buy,4497,369573,62
1422,1492827374,buy,862,281493,63
1462,1492826595,buy,1101,99903,64
1462,1492826595,buy,6409,99903,64
1509,1492822725,buy,1568,49326,65
1522,1492829989,buy,5756,366730,66
1540,1492798402,buy,5490,126459,67
1550,1492825252,buy,1101,21661,68
1598,1492821818,buy,12422,370203,69
1598,1492821858,buy,12422,370203,69
1707,1492831604,buy,4262,370203,70
1707,1492832316,buy,4262,370203,70
1712,1492825768,buy,4384,250447,71
1752,1492833274,buy,5406,428765,72
1824,1492805256,buy,8056,22038,73
1862,1492801262,buy,4269,400399,74
1888,1492822058,buy,6544,37435,75
1918,1492827820,buy,4263,388700,76
1966,1492792821,buy,12207,356822,77
1966,1492793108,buy,12207,76617,77
1973,1492827960,buy,6027,60793,78
2007,1492827228,buy,6181,406558,79
2030,1492822410,buy,7937,404078,80
2030,1492831946,buy,7937,404078,80
2044,1492822417,buy,4262,370203,81
2049,1492830311,buy,5206,217205,82
2057,1492791916,buy,6421,452314,83
2066,1492831164,buy,6261,207800,84
