user,time_stamp,btag,cate,brand,userid,age_level,order_id
19,1493540578,buy,6251,21107,19,0,1
19,1493968293,buy,6243,155887,19,0,1
19,1493968872,buy,4284,73457,19,0,1
19,1493969134,buy,549,69196,19,0,1
19,1493969134,buy,392,69196,19,0,1
19,1493969134,buy,1133,69196,19,0,1
19,1493970487,buy,6250,136666,19,0,1
19,1494412392,buy,11181,413000,19,0,1
19,1494429910,buy,6433,93403,19,0,1
259,1493718405,buy,5868,76749,259,0,2
259,1493718405,buy,5868,398251,259,0,2
259,1493718405,buy,6123,224725,259,0,2
259,1493718892,buy,5868,76749,259,0,2
259,1493718892,buy,5868,398251,259,0,2
259,1493718892,buy,6123,224725,259,0,2
259,1493733956,buy,1352,335455,259,0,2
259,1493778977,buy,5868,398251,259,0,2
259,1494207290,buy,3140,357601,259,0,2
259,1494210902,buy,6097,311930,259,0,2
294,1494398556,buy,4520,59469,294,0,3
2621,1494295068,buy,8056,298792,2621,0,4
4427,1493308233,buy,8928,125549,4427,0,5
4427,1493792867,buy,8216,375765,4427,0,5
4427,1493876216,buy,5467,96007,4427,0,5
4427,1493876216,buy,5467,96007,4427,0,5
4427,1494079565,buy,4592,341888,4427,0,5
4427,1494588848,buy,6332,93403,4427,0,5
5773,1492852994,buy,11125,191533,5773,0,6
5773,1493181809,buy,4263,388700,5773,0,6
5773,1493478112,buy,6711,117660,5773,0,6
5773,1494223377,buy,11198,280967,5773,0,6
5773,1494224276,buy,7825,109891,5773,0,6
5773,1494238515,buy,11198,280967,5773,0,6
5773,1494257027,buy,6160,92800,5773,0,6
5773,1494306570,buy,4483,282735,5773,0,6
5773,1494668500,buy,4267,271501,5773,0,6
6786,1493614535,buy,6432,260796,6786,0,7
10222,1493011949,buy,4262,370203,10222,0,8
10222,1493011962,buy,4262,370203,10222,0,8
10222,1493190383,buy,6383,387442,10222,0,8
12161,1493162961,buy,6541,262431,12161,0,9
12161,1493432286,buy,11195,17613,12161,0,9
12161,1493686113,buy,12252,273696,12161,0,9
12161,1493856639,buy,7228,420138,12161,0,9
12161,1493860016,buy,6838,116991,12161,0,9
12161,1494063054,buy,6806,295870,12161,0,9
12161,1494453571,buy,7571,39394,12161,0,9
12161,1494480357,buy,5748,188108,12161,0,9
12161,1494483216,buy,2515,418344,12161,0,9
12161,1494484220,buy,2510,339778,12161,0,9
13292,1493643448,buy,4262,370203,13292,0,10
13292,1493684755,buy,6341,243989,13292,0,10
13292,1493690954,buy,5748,22973,13292,0,10
13292,1493691245,buy,5748,22973,13292,0,10
13292,1493691626,buy,5748,22973,13292,0,10
13292,1493772691,buy,4262,370203,13292,0,10
13292,1494315170,buy,12252,376830,13292,0,10
13292,1494508192,buy,4282,260291,13292,0,10
14230,1492924474,buy,562,427369,14230,0,11
14230,1493030137,buy,4384,158166,14230,0,11
14230,1493091287,buy,4781,138715,14230,0,11
14230,1493099441,buy,6081,240941,14230,0,11
14230,1493100391,buy,2203,14328,14230,0,11
14230,1493105268,buy,6408,192767,14230,0,11
14230,1493166350,buy,6407,71293,14230,0,11
14230,1493166981,buy,6407,71293,14230,0,11
14230,1493169068,buy,912,319017,14230,0,11
14230,1493169156,buy,912,319017,14230,0,11
14230,1493339011,buy,912,319017,14230,0,11
14230,1493339060,buy,912,319017,14230,0,11
14230,1493423187,buy,912,319017,14230,0,11
14230,1493423187,buy,912,319017,14230,0,11
14230,1493447367,buy,912,319017,14230,0,11
14230,1493447367,buy,912,319017,14230,0,11
14230,1493517066,buy,4781,134988,14230,0,11
14230,1493532866,buy,912,200490,14230,0,11
14230,1493848268,buy,6408,111209,14230,0,11
14230,1493850645,buy,10912,378493,14230,0,11
14230,1493851238,buy,4563,191648,14230,0,11
14230,1493868849,buy,4617,405012,14230,0,11
14230,1493940274,buy,4432,20684,14230,0,11
14230,1493940454,buy,4432,20684,14230,0,11
14230,1493940565,buy,4432,20684,14230,0,11
14230,1493942047,buy,4432,330321,14230,0,11
14230,1493944016,buy,7571,93752,14230,0,11
14230,1493944016,buy,7571,93752,14230,0,11
14230,1494026928,buy,4617,186580,14230,0,11
14230,1494026928,buy,4617,186580,14230,0,11
14230,1494037788,buy,4432,330321,14230,0,11
14230,1494045144,buy,5148,36241,14230,0,11
14230,1494115749,buy,4781,138715,14230,0,11
14230,1494448353,buy,5166,327439,14230,0,11
14230,1494448518,buy,5166,234846,14230,0,11
14230,1494448945,buy,5166,234846,14230,0,11
14230,1494585323,buy,6261,234846,14230,0,11
15223,1493386159,buy,6845,357689,15223,0,12
15223,1493466598,buy,1807,217003,15223,0,12
15223,1493470139,buy,1696,183602,15223,0,12
15223,1493888710,buy,11424,99418,15223,0,12
15223,1493891612,buy,4526,352436,15223,0,12
15223,1493891644,buy,4526,352436,15223,0,12
15223,1493905247,buy,5539,95247,15223,0,12
15223,1493905323,buy,5539,95247,15223,0,12
15223,1493905836,buy,5539,95247,15223,0,12
15223,1493905836,buy,5539,95247,15223,0,12
15223,1493906903,buy,5539,95247,15223,0,12
15223,1493906903,buy,5539,95247,15223,0,12
15223,1494068857,buy,11424,236315,15223,0,12
15223,1494287122,buy,1807,217003,15223,0,12
15223,1494300111,buy,1807,217003,15223,0,12
15223,1494409420,buy,4430,67652,15223,0,12
15223,1494468370,buy,4430,88078,15223,0,12
15223,1494495132,buy,6421,300325,15223,0,12
15223,1494549327,buy,4430,67652,15223,0,12
15223,1494587474,buy,1568,455502,15223,0,12
16417,1493806585,buy,12207,76617,16417,0,13
16417,1493960950,buy,4262,370203,16417,0,13
16417,1494268513,buy,9212,123897,16417,0,13
16417,1494380933,buy,1154,211795,16417,0,13
16422,1493260324,buy,6421,269810,16422,0,14
16422,1493420649,buy,1101,429306,16422,0,14
16422,1493680733,buy,1101,181578,16422,0,14
19530,1493550502,buy,4505,157515,19530,0,15
19530,1493550578,buy,4505,157515,19530,0,15
19530,1493558280,buy,4505,369005,19530,0,15
19530,1493558633,buy,6806,350014,19530,0,15
19530,1493604023,buy,4262,370203,19530,0,15
19530,1493604104,buy,4262,370203,19530,0,15
19530,1494504917,buy,4756,315438,19530,0,15
19530,1494664986,buy,4262,370203,19530,0,15
19552,1494217219,buy,5293,40057,19552,0,16
19552,1494218761,buy,5497,55417,19552,0,16
19552,1494223954,buy,12382,397884,19552,0,16
19552,1494319015,buy,2240,243405,19552,0,16
19552,1494319157,buy,2240,243405,19552,0,16
19552,1494319208,buy,2240,243405,19552,0,16
22884,1492961491,buy,1988,34948,22884,0,17
22884,1493824741,buy,1988,34948,22884,0,17
22884,1494131487,buy,6027,70125,22884,0,17
22884,1494660278,buy,6405,138871,22884,0,17
22884,1494660987,buy,6405,138871,22884,0,17
27106,1492867535,buy,4413,295686,27106,0,18
27106,1493011132,buy,11959,152878,27106,0,18
27106,1493025331,buy,11966,89594,27106,0,18
27106,1494247724,buy,12382,451951,27106,0,18
27106,1494248097,buy,1668,409745,27106,0,18
27106,1494412083,buy,4859,454237,27106,0,18
28377,1492812206,buy,6879,88078,28377,0,19
28377,1492812390,buy,6879,88078,28377,0,19
28377,1492813325,buy,6879,88078,28377,0,19
28377,1492821114,buy,6879,88078,28377,0,19
28377,1493696158,buy,4407,425589,28377,0,19
28377,1493998525,buy,11030,412328,28377,0,19
28377,1494511323,buy,11030,412328,28377,0,19
28377,1494590515,buy,5853,59040,28377,0,19
32899,1493004216,buy,6621,192164,32899,0,20
32899,1493208228,buy,6103,55403,32899,0,20
32899,1493208393,buy,6111,84002,32899,0,20
32899,1493208481,buy,6111,84002,32899,0,20
32899,1493208589,buy,6111,84002,32899,0,20
32899,1493253511,buy,6111,84002,32899,0,20
32899,1493253731,buy,6111,84002,32899,0,20
32899,1493426923,buy,6373,168503,32899,0,20
32899,1493427915,buy,6085,261822,32899,0,20
32899,1493450386,buy,4520,161136,32899,0,20
32899,1493450459,buy,4520,161136,32899,0,20
32899,1493778221,buy,6096,365559,32899,0,20
32899,1493778787,buy,6096,365559,32899,0,20
32899,1493778853,buy,6096,365559,32899,0,20
32899,1494063678,buy,6092,370367,32899,0,20
